,0,1,2
13,역시 스트랩은 정품이 만족도가 높네요 밀레니즈 루프,정품 밀레니즈루프 입니다최근 월 제조품인데 제조공정이 바뀐건지 기분탓인지 모르겠는데 찝힘이 거의 없는 느낌입니다착용감과 색감이 아주 만족스럽네요정품이 주는 심리적인 만족감도 큰 것 같아요워치는 바뀔지언정 한번 구매한 스트랩은 워치가 바뀌어도 계속가니 줄질 욕심은 계속 생기네요 ㅎㅎ,2021.08.11. 14:50
14,애플뮤직 버그,오른쪽 상단에 시계가 안뜨네요깔끔해서 좋긴한데ㅋㅋㅋㅋ,2021.08.11. 14:24
15,오늘의 워치 세번째 입니다,화이자 맞고 쉬면서 할일도 없고 워치 사놓고 많이 만져보지도 못해서 이때다 이것 저것 만져보는 중입니다페이스도 이것 저것 다 해봤는데 인포그래프가 가장 괜찮은 것 같네요 ㅎㅎ,2021.08.11. 14:21
16,오늘의 워치,오늘의 워치,2021.08.11. 14:14
17,휴가워치,카페에서 여유있게 오늘워치 인증합니다,2021.08.11. 13:25
18,링블은 참 이뻐요,그파  블랙 링블 옆면이 참 이뻐요,2021.08.11. 13:01
19,애플워치골드와 실버의 조화,생각보다 예쁜것 같아요 처음엔 깔맞춤 엄청 했는데 개월이 지나니 이제 깔맞춤은 잘 안하게되네요 ㅋㅋ,2021.08.11. 11:43
20,수요일 워치입니다,오랜만에 리차드밀 페이스로 찍어봤어요날씨가 선선해져서 곧 가을이 올 것 같아요 ㅎㅎ환절기에 감기 잘 걸리니까 건강관리 잘 하세요,2021.08.11. 10:57
21,오늘의 워치입니다,날씨가 흐릿흐릿하네요 ㅠ 흐릿한날은 이거져,2021.08.11. 10:49
22,클락콜로지 페이스 공유  파타고니아 꽃찡비님 제작 수정분,안녕하세요 ㅎㅎ 제가 예전에 올린 오늘의페이스 글에서 몇몇분이 제가 수정한 페이스 공유요청을 하셨는데이제야 확인하고 너무나도 늦게 올립니다 ㅠㅠ먼저제가 만든 건 아니고 꽃찡비님이 원래 만드셨던 거에 제가 필요로 하는 인포 개배터리 만보기에 초 추가 시간 폰트 수정만 해서 쓰고 있었어요원작은 이곳으로 가시면 됩니다 클락콜로지 페이스공유파타고니아제가 만들어서 공유하는 모든 페이스의 저작권은 저에게 있습니다 이를 공유 및 재배포시에는 블로그 출처를 남겨주시기 바라며 제가 만든 페이스를 상업적으로 사용하고 싶으  애플워치  파타고니아 페이스공유착용샷추가 클락콜로지 파타고니아  페이스 애플워치 애플워치페이스 애플워치페이스공유    제가 쓰고 있는 페이스는 이렇습니다 ㅎㅎ 첨부파일파일 다운로드내 컴퓨터 저장네이버 에 저장 다운받으시면 됩니다 ㅎㅎ여름 어제부로 말복까지 지나버렸지만여름에 쓰기에 특히 더 좋은 것 같아요전 앞으로도 한동안 이 페이스로 갈 것 같아요 ㅎㅎ,2021.08.11. 10:20
23,오늘의 페이스  사이버포뮬러순정페이스,사용 페이스인포그래프사용 앱,2021.08.11. 09:26
24,스뎅 사려고 고민햇는데,스테인리스 같지 않나요ㅎㅎ겉은 스뎅이면서 본품은 알루미늄이라 가볍고 더 좋은 것 같아요 오늘의 워치였습니다 ㅎㅎ,2021.08.11. 09:25
25,앱 정렬을 이렇게 해놨더니,페이스 북에워치페이스 팬 클럽 가입해있습니다거기에 앱 정렬 나 이렇게 했소 라고 올렸더니 반응들이너 할일 없구나  라는나름 색상별로 앱을 정렬해 놓은건데 말입니다 찾기 쉽도록,2021.08.11. 09:19
26,메종키츠네 워치페이스 종 공유 클락콜로지수정됨,기존에 떠돌던 메종키츠네 워치페이스는 개인적으로 복잡한 느낌이 없지 않다고 생각해서 새로 만들어 보았습니당갤럭시워치의 페이스처럼 세분화된 링을 만들고자 여러 가지 시도를 했으나 애플워치와는 어울리지 않는다고 생각해서 포기했어요금손분들에 비하면 부족하지만 공유할 수 있어 기뻐요 착용샷 대신 예시로 대신할게요 꿀팁  할 때   를 해제 후 등록하면 스와이프로 블랙화이트를 전환할 수 있어요 이전처럼 개선사항이 있다면 업데이트로 찾아뵐게요     클락콜로지 파일적용 방법은 검색하시면 쉽게 찾을 수 있어요 첨부파일메종키츠네블랙파일 다운로드내 컴퓨터 저장네이버 에 저장 첨부파일메종키츠네화이트파일 다운로드내 컴퓨터 저장네이버 에 저장,2021.08.11. 04:40
27,과,얼마전 둘다 쓴다고 한 유저입니다 ㅎ 그래도 하나는 바꿔보고 싶어서 블루를 으로 바꿨는데 오히려 저는 이 더 맘에 드네요 ㅎㅎ 참고 하시라고 사진 올립니다 참고로  아재입니다,2021.08.11. 00:13
28,오느릐 필테와치,이상하게 필테 갈때세번중 두번은핑크 끼고 가는 것 같네요ㅋㅋㅋㅋㅋ네 맞아요오늘도 핑크입니다오늘의 필테워치스포츠루프 샌드핑크워치 빠나나우유랑 함께 집 가는 길,2021.08.10. 21:22
29,보라보라해,보라보라한 하루가 지나갑니다,2021.08.10. 20:57
30,스포츠루프가 저한테 안맞는걸까요ㅜㅜ,간지러워요ㅜㅜ자꾸 긁게되네요긁으니까 더 간지러워요ㅠㅠ,2021.08.10. 20:35
31,알리발 메탈스크랩 도착,어휴 훌륭하네요진짜 시계는 이제 정말 잘 안찰듯,2021.08.10. 20:17
32,오랜만에 오늘의 워치,엘메는 다 좋은데 스포츠밴드가 짧은줄이 없는게 아쉽네요 ㅠㅠ,2021.08.10. 19:46
33,오늘의 와아치,오늘의 와아치그냥 브랜드 로고사진 다운받아서 직접만들어 봤는데심플하니 괜찮은듯 합니다스트랩만 밀레니즈로 바꾸면 더 좋아보일것 같네요,2021.08.10. 18:58
34,방금 배송받은 여름 냄새나는 스포츠루프,깔끔해서 좋아요민트 파랑으로 샀는데 여름냄새 나서 여름동안 잘 사용할 것 같아요ㅋㅋㅋ,2021.08.10. 18:27
35,오늘의 스트랩,퍼플퍼플합니다,2021.08.10. 17:55
36,나이키 스포츠루프 주문했어요,애플은 씰 뜯는맛이죠 ㅎㅎㅎㅎㅎ가품 여러개 주문하려다가 직업상 손도 많이 씻으면 스트랩이 물을 먹을텐데 가품은 잘 안빠진다고해서 정품 주문했네요 비싼감은 있지만 정품 값은 하겠죠ㅎㅎㅎㅎ개봉식은 이따 올립니다 ㅎㅎㅎㅎ,2021.08.10. 17:46
37,까르띠에 페이스  순정 메종,캬캬캬캬카카캬캬캬ㅏ카캌 화요일 입니다기분 전환 할 겸 오랜만에 클락콜로지 켜봤네요스포츠루프에는 순정 메종 배경이 더 잘 어울리려나 아무튼 까르띠에 블랙도 이뻐요,2021.08.10. 17:15
38,애케플 일 남았는데 워치 배터리,아오 평상시에 좀 더 갈굴걸ㅋㅋㅋㅋ 만들기 어렵겠죠,2021.08.10. 16:13
39,첫 오늘의워치,스테인리스 그래파이트  밀레니즈 그래파이트 찰떡입니다,2021.08.10. 14:37
40,어오 워치 휴가끝ㅠ,드디어 몇일만에 집에 도착했네여ㅠ 날도 좋고 맘도 편하고 좋은사람들과 즐거운 시간 보내고 왔습니다 오늘의 워치와 어제의 워치ㅋㅋ 나도 요런 옥상 갖고싶으네요,2021.08.10. 14:30
41,애플워치 나이키 스포츠 루프 구매했습니다,정품 밀레니즈 차고 다니는데 약간 묵직한 느낌도 있고 해서 공홈에서 나이키 스포츠 루프 블랙으로 주문해서오늘 받았습니다  확실히 가벼워서 좋네요,2021.08.10. 12:54
42,오늘의 워치,백신 맞으러 가기전에 올리는 오늘의 워치 입니다,2021.08.10. 12:16
43,화요일 워치입니다,어제까지는 더웠는데 오늘 아침에 일어나니까 시원해졌네요얼른 가을이 왔으면 좋겠습니다 ㅎㅎ,2021.08.10. 11:43
44,스트랩 자랑해도 되나요,요즘 파타고니아 페이스 쓰고 있어요나름 사진으로만 했는데도 포인트도 되고 예뻐요 링크랑 잘어울리고 만족만족 갑자기 사진 보니까 팔이 엄청 탔네요  짜잔 기승전 텀블러 자랑 글이였습니다 ㅋㅋㅋ부산에서 지인통해서 어렵게 공수한 스벅 텀블러에요제눈에만 예쁜가요왜 이런거에 집착하냐고 하지만꽂히면 사야죠어쩌겠어요 ㅋㅋㅋㅋㅋㅋ,2021.08.10. 11:06
45,오늘의 워치와 폰,오늘은 레드브라운 천연가죽 조합입니다 한,2021.08.10. 11:05
46,스포츠루프 진짜 좋네용 ㅋㅋ,스포츠 밴드사용중이였는데땀차면 실리콘이라서 뭔가 불편했는데루프로 바꾸니깐 일단 너무 가볍고땀도 안차고 너무 좋네용 ㅋㅋ겨울에는 어떨지 궁금하긴한데스포츠 루프만 주구장장찰듯 싶어요 ㅋㅋ,2021.08.10. 10:54
47,고민끝에 워치 가죽스트랩 주문시켯습니다,주문제작 가죽스트랩이 여러군데 있는데고민의 고민을 더한결과한 업체로 정하고 주문시켯습니다한 주 걸린다니 여유롭게 기다리고가을부터 착용해야겠어요 ㅎㅎ,2021.08.10. 10:36
48,오늘은 시크한척 블랙사과시계,오늘은 편하게 실리콘밴드입니당 ㅎ시크한척블랙,2021.08.10. 09:57
49,오늘은 블랙 키츠네루 가봅니다,넘나리 깔끔하군요,2021.08.10. 09:36
50,오늘은 스포츠밴드 겸보라주의 워치애니띵 공유,안녕하세요 타노스 입니다스포츠밴드를 매치해봤어요그나저나어제 올렸던거 공유 요청들이 있으셔서공유 드립니다  글 겁나 성의 없어,2021.08.10. 09:35
51,에르메스 실버밀레니즈 루프,오늘은 화요일입니다그래서 에르메스 로즈보르도 페이스 와 함께 오늘 하루를 보낼려고 합니다 정면정면에서 도 기운 모습손목을 한번 제껴주면 요고오늘 새벽에 날씨가 쌀쌀하더라구요그래서인지 바람이 서늘하고 청량해서기분이 좋았답니다가을 새벽 공기 같아서 색다르더라구요더 추워지기 전에 오늘 하루를 즐겁게 보내야겠어요오늘 하루도 아자아자,2021.08.10. 09:29
52,오랜만에 오워 오늘은 깜장입니다,오랜만에 오워 올리네요 올 깜장에 페이스는 심플옷도 심플웃기지마라님 사진 감사합니다,2021.08.10. 09:13
53,오느레 워치,집사 이거 새로운 거냥이거도 깨뜨려 먹어주면 되는거시냥  ㅎㅎ 오늘도 좋은하루 보내세요,2021.08.10. 08:51
54,휴가 오늘의워치,오늘부터 저는 휴가에요짧아서 어디 놀러가는건 못하지만휴가 잘 보내려고 합니다휴가워치에요실버로 바꾸고 큐빅베젤링오랜만에 껴봤는데 역시 실버에요 실버랑 큐빅 너므 잘어울린다구요저혼자만 뿌듯뿌듯 하네요휴가 잘 보내고 오겠습니당,2021.08.10. 08:48
55,오늘의 워치,오늘의 워치 고급스러운 척 하는 스포츠루프,2021.08.10. 08:46
56,화요일의 워치에어팟 프로,히힛 ㅎㅎㅎㅎㅎ 갤럭시로 가도 얘는 진짜 그냥 쭉 쓸거에요  프로  나오면 또 살거 같아요 ㅎㅎㅎㅎ 세대도 잘 썻는데 노캔 한번 경험하니 ㅎㅎㅎㅎ 엄마는 당최 이해가 안 가시나봐요 집에 이어팟 유선도 있거든요 그거 갖고 다니면 충전도 안하고 얼마나 좋냐고 ㅠㅠ ㅋ 엄마 그거 갬성값 원 주고 샀어요 ㅋㅋㅋㅋㅋㅋ 그러질 못했어요 등짝 스매싱 맞을까봐 ㅎㅎㅎ 하루라도 안갖고 다니면 대중교통러는 ㅜㅡㅜ 암튼 워치 페이스 맞춰봤어요 ㅎ 오늘 하루도 화이팅 해요   마지막으로 자랑할거 있어요생각치도 못했는데 대표님이 휴가 보내는데 쓰라고 보내주셨는데 확인 안 했는데  주셨어요  휴가 가기전까지 ㅎㅎㅎ 갖다오고 나서 더 열심히 일할게요 ㅎㅎㅎㅎ,2021.08.10. 08:23
57,오랜만에 워치페이스 디자인,이전에 구찌문페이즈에 이어서 기존의 메종키츠네 워치페이스를 보고 품질 개선겸 조금 더 원본과의 싱크로율을 높여보고자 만든 페이스에요 요것도 마무리 작업 후 공유할까 고민중입니당출처는 모르지만 떠도는 기존의 페이스랑 비교하면 기존은 귀여운 느낌 요거는 사실적인 느낌이에요 비교좌 기존 우 요거  구찌문페이즈 보러가기  구찌문페이즈  공유 크기 및 품질 업데이트대한민국 모임의 시작 네이버 카페,2021.08.10. 07:55
58,오늘의 워치,요즘 날이 더워예전에 사용했던 로열블루 우븐 다시 차봅니다개인적으로 아끼는 밴드라 애착이 갑니다말복 더위에 수분섭취 많이 하세요,2021.08.10. 07:46
59,에서  로 올라가도 변화가 체감되네요,시간이나보고 타이머용으로 사용하다가가 생겨서 기변했는데 체감이 되는군요화면커진건 보너스인데 앱 실행속도가 훨씬 빠르네요 올해  나오면  세일할꺼니 그때 이나 구입할까 생각중입니다,2021.08.10. 06:57
60,오랜만에 줄질 했어요,안녕하세요 매번 댓글만 달다가 처음으로 글쓰기 해봐요저는 애플워치  사용중인데 손목에 포인트 될만한 애플워치 스트랩 찾다가 예쁜 오렌지 가죽스트랩으로 줄질했습니다이벤트 참여하고 스포츠밴드도 하나 더 받아서 가죽은 잠시 아껴두고 더운날엔 당분간 스포츠밴드 착용해야겠어요,2021.08.09. 22:57
61,런닝하고 나서야 돈이 안아깝네요,애플워치 구입한지 년 가까이되는동안이걸 어떻게 잘 써먹어볼까만하다가 ㅋㅋㅋ런닝시작하고 나서는 돈값하네요 ㅋㅋ분당 시간 알려주는맛에 오늘도 걸으려다가안멈췄습니다태풍온다고 날씨도 꾸리꾸리하니달리기 좋네요,2021.08.09. 22:20
62,느지막한 오늘의 워치 ㅎㅎ 오늘도 보라해,오늘은 퍼플펄스 스트랩에 보라보라한 페이스랍니다 맥너겟이 생각나는 밤이네요,2021.08.09. 21:48
63,뭐가 더 이쁜것인가,무기명 투표 중짭르메스애플                    투표하기                        투표자 보기                    투표자 명                        확인                전체 투표자 보기                    투표자 명                        확인,2021.08.09. 20:42
64,오늘의워치 에르메스 저리가라 가죽 스트랩 자랑합니다,이전에 올린 에토프 가죽 스트랩 게시글이 반응이 좋아서 추가로 화이트 블랙도 함께 올려봅니다  어떤 색상이 제일 이쁜가요ㅎㅎ 제 생각엔 가죽도 색상별로 쟁여두는건 애플워치 사용자라면 필수인 것 같아요  다들 어떤 가죽 스트랩을 사용하시나요,2021.08.09. 20:40
65,꺄핫 드디어 활성화,미리인데 안커보이쥬 ㅋㅋㅋ워치 년 쓰다가 ㅋ 스그루 갈아탓숨닷밴드는 ㅋㅍ산  짜리 솔로루픈데가성비 짱짱맨이네용,2021.08.09. 20:40
66,보기만해도 시원한 워치,제가 원래 하드케이스를 진짜 싫어하는데 어쩌다 유광 하드케이스에 꽂혀가지고 일주일 동안 케이스를 개나 사버렸어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 에어팟케이스까지 세트로ㅎㅎㅎ 년 반째 잘 버텨주고 있는 에어팟  꿀  시루 각인도 추가했어요  저희집 냥이들 이름이에요ㅎㅎㅎ 워치페이스가 하늘색인데 색감이 잘 안 잡히네요아무튼 보기만해도 시원한 조합   하늘 사진페이스로 설정해도 예쁘더라구요  장이나 때려넣었어요 ㅋㅋㅋㅋㅋ 학교 후배 만나러 대구  수원  약간 늦었지만 다들 맛저하세욤,2021.08.09. 18:57
67,오늘의 애플페이스 인포그래프,맘에 듭니다,2021.08.09. 18:09
68,스트랩중에 제일 맘에 들어요,가죽링크 촤라락 할때 감기는 느낌 마치 아이언맨에서 슈트가 촤라락 하고 감싸지는 느낌여태차던 스트랩중 젤 맘에드네요ㅎㅎ근데 아직 날이더워 못차고 다닐듯ㅍ,2021.08.09. 18:03
69,오늘의 느와르,에르메스  스블  느와르 페이스  플럼 스포츠 밴드 입니다,2021.08.09. 16:59
70,애플와치없이,와치 없이 빵 사러 잠깐 나갔다 왔는대 와치 잠금해재 없으니 드럽게 불편하내요메시지 확인  음량 조절 다음곡 넘기기 등등ㅘ  편한건 한번 누리면 돌이킬수 없내요,2021.08.09. 16:35
71,에서  지원한다면,현재   사용 중입니다기존에 잘 쓰던 단축어들이 안돼서이것저것 찾다보니까애플공홈에 이런내용이 있네요 이 말은 클록콜로지도  지원 가능하다는 뜻 아닌가요,2021.08.09. 16:15
72,워치 구입했습니다,기존에 쓰던 일반 시계에서 애플워치로 갈아탔습니다많은분들이 를 추천해줬지만 만원 정도 더 저렴하고 랑  둘다 기능이 없어서 중고로 얻어왔습니다 시계 페이스들도 많고 인디케이터들을 바꿀수 있다는게 좋네요,2021.08.09. 15:56
73,오랜만에 실리콘밴드,오랜만에 실리콘 밴드 하니깐 너무 가볍고 편해요,2021.08.09. 14:37
74,저번주의 워치들,앙주의 저번주 착장 워치를 보여두립니당 가장 최근에 산실리콘 버클스트랩 부터 시작골드 메탈베젤링을 같이 껴줬어요  이렇게 생긴 줄이에요 요것은 ㅇㄹ발 핑크 솔로루프첫구매였는데 저한테 기가 막히게 잘맞는사이쥬라 넘조아유  필테 워치들ㅋㅋㅋㅋ보라못잃어퍼플못잃어  첫번째와 비슷한 듯 다른 베이지색 스트랩요건 월넛색상 실리콘밴드입니당 슬림 체인스트랩실버랑 되게잘어울랴용오늘도 저의 워치를 봐주셔서감사합니당,2021.08.09. 12:49
75,나도 출근워치,싫어 ㅠㅠ 헬요일,2021.08.09. 12:09
76,저도 자랑해봐요,나이키에디션이라 바탕화면도 나이키를 보여줘야 맛이죠 ㅎㅎㅎㅎ모두들 맛점하세요,2021.08.09. 12:00
77,오늘의 워치입니다,계속 재밌어서 바꾸게 되네요,2021.08.09. 11:52
78,오늘의 페이스 공유,안녕하세여 여러분오늘의 페이스공유는 나이키 블링블링페이스입니닷ㅎㅎ나이키 페이스는 간만인것 같네여 ㅎㅎ아닌가 자주인가ㅎ요 바로앞에 올렸던 구찌페이스와 기본적인틀은 비슷하답니당버전은 상태표시줄쪽을 불투명하게 처리한버전과와이드하게 터놓은 버전 두개입니당뭐 거기서 거기니 좀더 맘에드는걸로 받으셔용 나이키블링 오늘의 페이스 공유                도움말라이센스            동영상 인코딩 중입니다분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다         재생 수     마우스를 드래그 하세요 도움말  멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거   화질 선택 옵션자동     자동                         화질  전체화면             광고정보 더보기초 후 초 후 재생광고 후 계속됩니다 공유소스 코드     주소복사 소스        복사 미지원으로  코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어  복사 레이어 닫기 오늘의 페이스 공유  나이키블링 오늘의 페이스 공유                도움말라이센스            동영상 인코딩 중입니다분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다         재생 수     마우스를 드래그 하세요 도움말  멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거   화질 선택 옵션자동     자동                         화질  전체화면             광고정보 더보기초 후 초 후 재생광고 후 계속됩니다 공유소스 코드     주소복사 소스        복사 미지원으로  코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어  복사 레이어 닫기 오늘의 페이스 공유 오늘의 페이스 공유착용샷예쁘게 쓰셔용감사합니닷  첨부파일나이키블링 별파일 다운로드내 컴퓨터 저장네이버 에 저장 첨부파일나이키블 별파일 다운로드내 컴퓨터 저장네이버 에 저장,2021.08.09. 11:20
79,오늘의워치 이쁜 스트랩 올리기,밴드랑 워치 페이스랑 찰떡임,2021.08.09. 10:40
80,스트랩 개 돌파했습니다,지금 손목에 있는 것까지 딱 개미사용한 애플워치 기본 스포츠 스트랩까지 하면 개네요지금 또 주문한거 날라오고 있을텐데 ㅠㅠ 파우치가 꽉 찰줄은 몰랐네요,2021.08.09. 09:51
81,오늘의 워치입니다,월요일다들 힘내세요,2021.08.09. 06:20
82,상콤한 월요일 아침 워치입니다,이번주 한주도 고생하십시오,2021.08.09. 05:30
83,주말워치,집으로 고고슁,2021.08.08. 23:55
84,ㅇㄹ발 밴드 도착,ㅇㄹ발 밴드가 주만에 도착해서 첫 줄질을 시작했습니다워치 오른쪽 개만 정품 스트랩이구 왼쪽은 전부 ㅇㄹ에서 구입한 스트랩인데 생각보다 퀄리티가 좋네요자세히보면 차이가 나는게 보이긴 하지만 가격생각하면 정품 스트랩은 너무 비싸서 살 엄두가 안나더라고요ㅋㅋㅋ결과적으로 도착한 스트랩 한번씩 바꿔보니 왜 줄질을 하는지 알겠네요 ㅋㅋㅋ다음에는 솔로루프밀레니즈로 도전해보겠습니다,2021.08.08. 23:22
85,그냥 티타늄으로 할래요,스뎅도 좋지만 이상하게 티타늄이 끌리네요년지나면 적금깨고 바로 티타늄 살려고요 답변해주신분들 감사드립니다,2021.08.08. 23:08
86,근처 편의점에서 페이북 결제,애플워치만 보면  참 이쁜데  사용도가 떨어지는거 같아서 요즘은 편의점 방문 할때 페이북 사용합니다페이북 어플 설치하고 고민 했습니다 제가 사용중인 카드가 되는것인가 아닌것인가 ㅜㅜ결국 페이북 설정 해서 잘쓰고 다니고 있습니다페이북의 장점 애플워치로 결제 가능 너무 편함단점 일부 매장만 가능 또한 페이북은 카드 전용 어플이다보니  카드랑 연계된 은행만 가능합니다우리은행 신한은행 하나은행 카드사가 관리하는 카드는 많은데 정작 카드에 표기 안된 은행사나 증권사가 보일수 있습니다  확인방법은결제하고 영수증 보면 카드사가 나옵니다 저는 증권사 쓰는데 인걸 결제 하고 나서 알아서  가입 했습니다 사용가능 매장을 늘려주던가 큐알로 결제 하는 시스템이 늘어난다면 좋을 거 같습니다 ㅜㅜ 삼페 보면 부러울때가 많아요,2021.08.08. 21:55
87,애플워치,줄은 ㅇㄹ에서 구매한 줄인데 퀄 너무 구리네요밀레니즈루프는 가급적 돈만 된다면 정품을 구입해야겠어요혹시 보시기에  많이 작아보이시나요 살걸 하고 후회가 살짝 드네요,2021.08.08. 20:40
88,역시 여름엔 구멍송송밴드죠,여름엔 그냥 구멍송송밴드가 채고입니다,2021.08.08. 17:02
89,빠나나와치,빠나나 빠나나나오늘의 워치 솔로루프 빠나나 와치빠나나와치 하려고노랭이 꺼내 입었찌요파스텔톤의 노랭이라더 예뿜 예뿜 건반 앞에서도 찍고 걸어가면서도 찍고 손 들고도 찍고 마지막은 오늘 먹은 브런치맛저하세용,2021.08.08. 16:48
90,디즈니에 진심인 사람의 스트랩,예전에 뭐 검색하다가 프리스비 블로그 발견했는데 애플워치 미키마우스 스트랩이 뜨더라고요어린 시절 추억이 생각나는 비주얼이라 다음날 회사 옆 프리스비에서 바로 질렀네요ㅋㅋ애플워치 나오면 그걸로 갈아타더라도 얘는 끝까지 같이 가려고요,2021.08.08. 16:39
91,오늘의워치 작업중에 한컷,직업이 직업인지라 주말이란게없네요개인사업자 자영업자분들 화이팅입니다,2021.08.08. 14:55
92,밥묵다가가 한컷,오늘 점심은 콩국수 묵었네요  ㅋ 다들 점심챙겨 드세요,2021.08.08. 13:02
93,오늘은 배구를 응원하는 마음으로,대한민국으로 맞춰서 나왔는데아쉽게 졌네요ㅜㅜ 엉엉그래도 최선을 다하셨으니 선수 분들 마음 편하게 가지셨으면 해요,2021.08.08. 10:43
94,,구매결정 하구 샐루러로 결정하구 했는데사면은 시계로만 볼거같아용 어쩌지,2021.08.08. 02:12
95,저도 스댕버전동참이요,저도사포질좀해봤네요만족감은이루말할수가없습니다 저는방까지만했네요 가지고있는게방이마직막이여서지금상태도머이뻐서차고다니다가긁히거나하면 사포질다시하던지해야겠네요다들좋은밤보내세요,2021.08.08. 01:41
