,내용,등록일
11,S21 75 구매업뎃 전후 벤치점수,2021.07.05. 10:10
12,이번 업데이트 후 저는 한 23도 정도 온도가 낮아졌네요 쓰로틀링 제한을 많이 걸었는지 싱글코어 긱벤치는 많이 낮아지긴 했지만 만족합니다 ,2021.07.04. 07:27
13,결론부터 먼저 말씀드리면 대만족이네요 번개xx에서 s급이상 중고 꼼꼼하게 찾다가 믿을만한 업체한테서 70주고 샀어요 최초 개통일은 5월초바로 담날에 와서 외관을 진짜 자세히 꼼꼼하게 봤는데 거진 새 폰이더라구요 그리고 전화 음량 카메라 배터리 등다른 기능상의 문제도 없고첫번째는 여기서 맘에 들었고두번째부턴 디자인 색상 120hz 덕분인 부드러움 많은 예쁜 케이스 덕분에 맘에 들었네요그리고 발열은 괜찮은거 같아요 땡볕에서도 사용해봤는데 그렇게 뜨겁다는 느낌은 못 받았어요 요즘 날씨에 왠만한 폰들도 이만치 뜨거워지니실내에서도 괜찮고요 실내든 실외든 고속충전하면서 폰 썻는데 뜨겁다는 느낌은 못받았어요,2021.07.03. 21:12
14,테스트기종 SMG991에어컨쪽 측정점수 싱글 1066멀티 3408테스트는 구매이후 어제 업데이트후 측정된 결과입니다,2021.06.19. 12:16
15,,2021.06.17. 16:52
16,산지 2주정도되는데 점점떨어지네요너무낮은데 ,2021.06.05. 11:49
17, 완충하고 돌렸는데  괜찮네요,2021.06.05. 10:43
18,아이폰쓰다가 갤s21도 샀는데120hz 엄청 기대했는데 물론 스크롤시나 애니메이션은 체감이 되는데 그 본질적인 터치감은 아이폰 전혀 못따라오네요,2021.06.04. 23:38
19, 만질줄 몰라서 별도로 설정한건 없구요절전모드 아니구 발열은 크게 못 느끼구게임은 하지 않습니다업데이트 고민이신분 있으시면 참고 정도 해주세용,2021.06.02. 10:06
20, 이뿌당 저는 모바일 게임패드 물려서 붕괴3 원신 즐겨 하는데이상하게 제 건 게임 좀 해도 발열이라고 할 만한 열은 못 느끼겠더군요심지어 gos도 끄고 1시간 정도 열심히 게임해도 그렇게 막 뜨겁단 느낌은 못 받았습니다뽑기 운이 굉장히 좋았는 듯해요 ,2021.05.29. 03:19
21, 멀티가 200점정도 떨어졌네요 ,2021.05.19. 22:52
22,게임을 안해서 그런지는 모르겠지만 유튜브나 인터넷 사용으로는 오래써도 발열이 없네요 게임 목적으로 플래그쉽 폰을 사는 사람이라면 몰라도 그냥 폰바꿀때가 되서 바꾸려고 고려하는 사람이라면 바꿔도 충분히 만족할꺼 같네요 단점이라면 매장에서 잠깐 들어봤을땐 별상관 안했는데 계속 사용하기엔 좀 무겁다는것 정도입니다,2021.05.16. 21:44
23,제 지난글에도 볼 수 있듯 s9에서 s21로 바꿀까 존버할까를 고민하고 디플이나 전시매장에서 매번 만져보고 발열이고 뭐고 운빨로 뽑으면 되지않나 매일 고민했었습니다전 서비스직에서 일하는 사람이라 삼성페이로 결제를 하는 손님들을 많이 만나게 되는데요덕분에 21 21 21u 종류별로 많이 만져봤어요보통 핸드폰으로 용무를 보다가 폰을 건네주시는 경우가 많아 자연스런 발열체크가 가능했네요 사려고 관심을 가진 핸드폰이다보니 저도 모르게 결제하는 척 뒷면을 스윽 만져보고 뜨겁나 하고 한번 온도를 느껴보는데평균값을 따지자면 과반수 이상이 뜨겁다라는 결론입니다 뜨겁다의 기준은 제 s9의 불타오르는 온도랑 비슷한 수준이면 뜨겁다고 판단했습니다근데 정말 놀랍도록 멜론이나 동영상프로그램이 돌아가고 있는데도 안뜨거운 생폰도 있고 별거 없어 보이는데 뜨끈뜨끈한 녀석도 있어서 여기 사용자분들이 발열 있다 없다로 싸우는 것도 이해가 가더군요망폰이고 아니고 전 실 사용자가 아니니 입닫고 있겠습니다만 날씨가 더워져서 양 쪽 분들이 서로를 거짓말쟁이나 특정제품알바로 매도 당하는게 안타까워서 경험담을 풀어봅니다,2021.05.16. 20:19
24,갤럭시 S21를 올 1월에 사전예약으로 구입했습니다뽑기운이 좋아서 그동안 큰 발열의 문제없이 잘 사용중이였네요사건의 발단은 저번주 토요일 저녁 11시50경  소파에 누워 유튜브 시청후 충전삼성전용충전기 케이블사용중약 10분간 샤워후 다시 핸드폰을 만졌더니 화면에 아무반응 없음지문인식 부근에 손을 대면 락이 풀리는 소리 들림 와이프한테 전화하라고 하면 전화벨은 울림기계는 정상 작동되는데 액정화면이 완전히 나가는 현상이네요코로나 4단계라서 정말 집밖에 나가지도 않고 집에서만 있었구요다음날일요일에도 액정이 들어오지 않더군요 월요일 AS센터 방문예정으로 포기하고 있었는데 오후4시경 소파에서 자고 있는 나를 깨우는 울 아들 아빠 할머니한테 전화왔어액정나가고 16시간만에 다시 돌아왔네요구입후 1년이 지나고 액정 흑과되면 온전히 제돈으로 고쳐야되는데 오히려 상당히 불안해집니다다시 아이폰으로 가야되나 하는 흔들림하이엔드급의 폰이 가져야되는 신뢰성과 믿음이 상당히 흔들리네요언제 나갈지 모르는 액정을 바라보며 가슴졸이는 넋두리였네요,2021.05.15. 10:40
25,갤S21 사용하는데 퀵쉐어로 받은 파일이 카톡으로 보낼때 이미지가 안보내진다 오류 오류 오류 그리고 퀵쉐어로 받은 Text나 사진등 카톡이나 메신져로보내면 안보내짐 이거 불량 아님,2021.05.12. 18:47
26,s10 5g 에서 슈퍼체인지로 어쩔수없이 바꿨습니다발열문제물론걱정됐고 선택의여지가없었어요 발열까지는 이해하고 넘어가자생각하고 바꿨는데네 역시 발열 심하긴합니다 뭐발열은 그렇다치고여태껏 한번도 경험하지못했던 상대방한테 전화가 걸려오면 제가 통화불가지역이라고 떠서 통화를할수가없는증상 주로 가게에있어서 거기아주 데이터잘터지고 와이파이도 잘터집니다 21바꾸고나서 데이터를 못잡나 라는 생각이들때쯤문득 스쳐지나간 생각집에 와이파이아주빵빵하게잘터집니다 근데 21로바꾸고나서 뭔가 속도가 느려진듯한기분에다가 또 특정 방에가면 한칸으로아예내려가서 사용불가한 증상이 있었어요이건 그냥 우리집와이파이 공유기나 인터넷이 불안정한가 하고 생각했는데남친도 불과 일주일전에 21로 폰을바꿨습니다 근데  제가 아요새 집에서 와이파이가잘안된다고 하니까자기도 폰바꾸고나서부터 갑자기 와이파이가 안터지는거같다면서 얘기를하더라고요 그래서 친구 다른폰 써서 불러서 확인해보니 친구는 아주 빵빵하게 잘터집니다와이파이신호랑 데이터신호 제대로 못받는문제도 분명 있는것같습니다그리고 발열때문인지 쓰다보면 버버버버버벅 이는 증상때문에매우 불편해요  후  다음에도 이렇게나오면 삼성폰더이상 못쓸거같어요 제발삼성 왜이럽니까 지금매일 그냥 던져버리고싶다라는 생각밖에안들어요 약정이며 위약금이며 빨리 개선된 신모델 나오기를,2021.05.10. 21:16
27,사실 s21울트라 노트20울트라 중에 어떤걸 살지 2달을 고민했던거 같네요 처음에 s21울트라만 생각했다가 너무 많은 발열 이슈때문에 망설여졌네요 그래도 최신폰이 낫다고 생각해서 s21울트라 샀어요 개통후 3일차인데 최고 40도까지 올라갔네요 평균 34도에서 36도 왔다갔다해요 이전폰이 g8이었는데 비슷한 수준이었던거 같아요 저는 게임은 안하고 유투브 화상회의 인터넷검색 주식 코인 위주로만 해서 그런지 큰 부담이 없었던거 같네요하지만 아직까지 발열이슈로 고통받는 분들이 많기에 삼성에서 개선의 노력을 더 해주었으면 좋겠네요이상 3일차 갤21u 후기였슴다,2021.05.10. 17:18
28, 저는 우선 게임 안합니다동영상시청 이나 인터넷 서핑만 주로 합니다다들 발열 엄청 심하신데 대체 어느정도 심하신겁니까제것은 뽑기 잘한것 같아요 뽑기자랑좀 하겠습니덩,2021.05.07. 22:21
29, 요즘 덱스모드로 업무 갈아타기 하는 중인데휴대폰으로 엑셀 작업 PDF 수정 및 작성 프린트까지덱스모드로 업무 하는 중입니다PDF 작업 및 편집은 AndrOpen Office 유료버전 구입해서 사용하고요 덱스모드에 딱 맞게 인터페이스가 되어 있어서 사용중이고엑셀은 다들 아시다시피 안드로이드용 엑셀 사용중이고프린터는 제가 사용하는 프린터가 안잡혀서Printshare 어플 사용해서 출력하고 있습니다플립북 USB 확장은USB A 30 x3HDMI 있는 제품으로 사용중이고휴대폰에 허브연결 후 HDMI로 플립북 Mini HDMI에 연결USB A to C 로 플립북 Type C 입력 부분에 연결이렇게 하면 키보드 트랙패드 모니터 터치 다 가능하고남는 USB A 2군데다 프린트 및 마우스 연결해서사용하고 있습니다뭔가 주렁주렁 하긴 한데 아차피 집에서 업무 볼때만이라외출할때는 간단히 플립북만 가져가고요간단히 제가 사용하는 플립북 팁 알려드려요,2021.05.04. 20:13
30,s21u의 발열 뽑기가 심하다는걸 보고 많이 걱정했었는데저는 다행히 양품을 뽑은것 같아요가장 높았던게 실외 사용 44도 였고 3438도가 평균온도네요 4k 24f 3분 촬영 및 4k 60f 3분 촬영 후 책정한 온도입니다 위 책정이 끝나자마자 3d mark Wild Life를 돌린 후 책정한 온도입니다 위 책정이 끝나자마자 geekbench 5를 돌린 후 책정한 온도입니다저는 s21u 매우 만족스럽게 쓰고있습니다자급제로 구매하여 LTE에서 안넘어오고 있는지라 5G에서의 발열은 측정해보지 못했으나상당히 좋은 양품을 뽑은거같네요카메라가 가장 만족스럽네요 줌을 당겨도 크게 흔들리지않아서 촬영하기 쉬웠습니다배터리도 아침 10시에 충전기뽑고 8시에 집에 들어와도 50정도가 남아있고대체로 만족중입니다s펜 수납공간이 없다보니 실리콘 케이스를 사용중인데가로로 부피가 더 늘었다는게 가장 큰 불만인걸 제외하면 만족스럽네요,2021.05.03. 17:27
31,도저히 쓸수 없어서 초기화를 한번하고 재설정 앱 깔았는데 발열이 44도에서 32도로 내려갔습니다 열이 안나서 엄청나게 만족합니다,2021.04.22. 15:32
32,열흘째 사용중인데 전폰에서는 이렇지 않았는데  갤럭시는 이러네요 상품같은거 검색해서 목록나오면 위아래 드래그 터치시 살짝만 터치해도 바로 다음장으로 넘어가버리네요 좌우로 옆으로 밀지도 않았는데 보통한손으로 조작하잖아요 엄지로 위아래 올리고 내릴시 살짝 사선이 되긴해도 그정도 반응에도 바로바로 다음으로 넘어가 버리네요 다른검색에선 안그러는데 유독 상품 검색해서 목록 나올때만 저러네요혹시 액정필름 문제일까요 다른 분들도 그러나요 동영상 첨부합니다보시면 더빨리 이해 하실듯요  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolhlsCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 HLSBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0036 화질 선택 옵션자동 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기이거 버그인가요 아님 원래 그런걸까요,2021.04.18. 12:50
33,일주일되었고 게임은잘안해서 발열을 심하게느끼지는못합니다  점수가괜찬은건지요,2021.04.17. 23:28
34,  안녕하세요  S22 존버 못했습니다 6개월 못 기다리겠더군요   특히 아이폰 배터리효율이 90되니까 이거는 못 참겠더군요 89되면 더욱 팔기 힘들어질거같아 어제 미개봉 자급제 S21 일반 사고 확정기변해서 21을 제꺼로 만든다음  저녁에 바로 공기계된 아이폰 팔았습니다  삼성서비스센터가서 25w 충전기까지 사서 폰 마이너스랑더하니 12만 2천원 나왔지만 새폰사고 아이폰 처분해서 후련하고 하루 몇시간만에 다 끝내서 아주 좋습니다  아사모 탈퇴했습니다  어제도 충전기 사는데 아저씨가 불친절하고 제대로 몰라서 제게 15w를 팔았는데 다시 가서 25w 로 샀습니다  확실히 서비스센터가 질이 안좋아지긴 했습니다 맨 앞 여자분들은 친절하신데 그 아저씨 남자분이 영 꽝이네요  모델명으로 안다고 초고속충전이라고 얘기하니 그제서야 알아듣더군요  광고니 원가절감이니 노태문이니 뭐니해도 삼성에 충성하겠습니다  아이폰은 배터리효율이 너무 빨리 떨어져서 못 쓰겠습니다 너무 신경쓰여요 6개월만에 10가 떨어졌습니다  이전폰이었던 노울을 다시 못사서 아쉽지만 최신형 앞으로 3년은 메인 업데이트 해줄 S21 사서 만족합니다  밑은 후기입니다 1 62인치인데  생각보다 크고 그렇게 무겁지는 않고 M자탈모보다가 역시 펀치홀이 넓고 좋다라는걸 다시 느낌니다 2 120HZ  최강  60HZ 역체감 있긴했는데 적응했지만 그래도 다시 120HZ 쓰니 역시 이게 좋네요 3 뒷면 재질 플라스틱 만져보니 체감 제대로 납니다 8GB 디바이스보니 노울 12GB 보다가 체감 옵니다  젤리 케이스 끼고 있고 8GB는 뭐 어차피 저 라이트하게 쓰니 자주 정리해주면서 쓰려고 합니다 4  제일 중요한 발열입니다 밑에 사진보니 지금 딱 쓴지 하루 되었습니다 게임은 안해봣고 카메라는 써봣고 일단 최고는 38도는 올라갑니다 그리고 아이폰과같이 앞면 정면 위쪽 발열이 있습니다 뜨거워요 뒷면도 발열 있어요 충전할때나 좀 쓸때 발열이 나옵니다 기분이 좋지는 않아요 각오하고 샀습니다    죄송합니다  S21 많은 분들이 반대했었고 문제가 있는 시리즈 폰이었습니다  뽑기 운이 필요했었죠 하지만 아이폰 배터리효율때문에 못 참겠더군요 제 운을 시험해보고 싶었고 안드로이드 삼성 갤럭시폰으로 너무 넘어가고 싶었습니다  S22도 AMD 협업 1세대라 어찌될지는 나와봐야알구요  댓글 주신 많은분들에 반한 결정을 했습니다 그래서 중고가 아닌 미개봉 자급제 즉 새상품으로 도전을 해봤습니다 중고보다는 새제품이 그래도 뽑기 운이 나을수 있다 생각했었습니다 다행히 거래때는 문제없는 미개봉 자급제 새상품이었구요 7월 생산분이었습니다 발열이 있지만 각오하고 샀기에 괜찮습니다 이전 아이폰보다는 상시적으로 느낌으로 S21이 발열은 더 있습니다 하지만 아이폰도 요즘 발열이 심하더군요 최신 147로 올려두요  물론 제 경우보다 더심한분들도 계시구요  자중자중  삼성으로 6개월만에 돌아왔습니다 아이폰은 배터리효율이 자꾸 신경쓰이고 효율떨어지니 완충 100에서 배터리 떨어지는 속도도 빨라져서 삼성대비 큰 메리트를 못 느꼈습니다 작년에 썼던 아이폰11보다 무게는 감량했지만 배터리효율도 똑같이 감량했더군요 20w 충전도 썩 빠르지도 않고 급할때 8090에서 100 채우고싶은데 못채우는게 늘 짜증났습니다 하지만 갤럭시는 빨라서 금방 100로 갑니다 어머니도 이 점은 만족하시구요 애케플 이런것도 너무 신경쓰였습니다  S21 이 폰으로 이제는 오래 쓰려고 합니다  글이 길어졌습니다 노태문 사장님만 이제 사직서 쓰셨으면 좋겠습니다 군대에서 대대장 바뀔때처럼 전 사장님 고동진 사장님 그립습니다 차라리 고동진사장님이 나았습니다 돌아와주십시요                                                                                    2021 7 29    SAMSUNG Galaxy S21,2021.04.16. 15:26
35,제가 2012년부터 지금까지 갤럭시 S2를 시작으로 갤노트2 갤노트5 갤럭시S9 아이폰11프로맥스 S21울트라 이렇게 스마트폰을 써왔는데요단 한번도 발열때문에 이토록 스트레스를 받은적이 없습니다아이폰은 적어도 게임 영상촬영 할때 아니면 발열 있는지도 몰랐습니다그전에 쓰던 폰들도 마찬가집니다 카톡 웹서핑 유투브시청 등 일반적인 사용에서 발열 느낀적 없습니다그런데 이번 S21울트라는 심해도 너무 심합니다그냥 인터넷 웹서핑만 해도 뜨거워집니다5G모드이건 LTE모드이건 상관없습니다 발열은 동일합니다제가 뽑기를 잘못한건지 너무 궁금해서 주변 S21 울트라 사용자 3명 S21 사용자 2명한테 물어봤는데 모두가 동일합니다이 몇명으로 전체를 일반화 하지 말라고 하실수도 있습니다 그런데 카페의 다른 사용자분들도 그렇고 삼성멤버스에 올라오는 글도 그렇도 보면 많은 분들이 동일한 문제를 겪고 있음을 알게 되었습니다발열로 휴대폰이 터지지 않으면 문제가 없는건가요아니 제가 폰으로 고사양 게임을 하거나 왠종일 카메라를 켜놓거나 하는거면 이런 불만 가지는 것 자체가 웃기는 일이겠죠그냥 화면만 켜져있으면 뜨거워집니다 진짜 딱 그래요60hz로 주사율 내리면 좀 괜찮아지더군요 근데 120hz 지원하는 폰에서 60hz로 내려서 쓸거면 왜 이가격을 주고 플래그십 폰을 삽니까5g 되는 폰에서 lte를 써야한다면 왜 5g요금제를 내고 5g 단말을 구매하죠8K까지 촬영되는 카메라를 샀는데 왜 FHD급 화질로 촬영을 해야하죠S21이든 S21든 울트라든 발열문제는 모두 동일한 듯 보입니다S21시리즈로 기변생각있으신 분들 정말 짐싸들고 찾아다니면서 말리고 싶습니다 절대 바꾸지 마세요게임 안하면 괜찮다고요 실사용에서는 발열이 체감되는 수준이 아니라고요 사람마다 다를수 있겠지만 제 기준에선 아닙니다 전혀 아니에요그냥 화면이 켜져있으면 뜨거워집니다 적어도 제 경험상 그렇고 주변 사용자들도 동일한 문제를 겪고 있어요업데이트 다 최신버전입니다 발열개선 업데이트 그것도 당연히 되어있습니다발열개선은 도대체 뭔 발열개선을 했다는건지 소비자 눈속임인지 뭔지 모르겠는데 전혀 개선된 부분을 체감하지 못하고 있습니다요즘 코로나에 무더위에 스트레스 짜증이 가득한데 카톡만 하고 있어도 뜨거워지는 이 정신나간 폰을 언제까지 써야할지손에서 뜨끈뜨근한 발열이 느껴질 때마다 정말 뚜껑이 열려서 하루에도 몇번씩이나 폰을 갖다 던지고 싶어요S21 울트라로 기변한건 단언컨데 제 스마트폰 구매 선택 중 가장 최악의 선택입니다S21시리즈로 기변 생각 있으신분들 S20이나 노트20 시리즈로 가시던지 존버하시던지 하시는걸 진심으로 권유합니다저처럼 이렇게 열받는 상황에 처하는 분이 없길 간절히 바랍니다,2021.04.16. 00:22
36,많은 분들이 반신반의하면서 어느분들은 발열이 심하다저 포함어느분들은 발열 못느낀다 너무 좋다부럽습니다또 어느분들은 뭐가 맞는거냐 해서 21울트라 초기 구매 후 사용해온 사용자 입장으로어느날부터 뜬금없는 발열이 너무 열받아서요 몇일 기록한 온도 영상으로 대충 찍어봤습니다진짜 어느날은 충전중에도 발열 너무좋고 진짜 부드럽고어느날은 충전중이 아닌데도 버벅이길래 화면이나 뒤에 만져보면 뜨겁고대충 체감했을때 주머니에 가만히 있다가 37도정도 올라오면 미지근하게 느껴지는듯해요처음에 제껀 발열 없는줄 알았습니다업데이트 나오자마자 하는 성격이라 몇번 하다보니 주머니에서 열감이 느껴져 꺼내서 만져보면 미지근아무튼 요 몇일 기록 화면녹화로 대충 올려보니 이거다하고 판단을 하지 마시고 1 이정도면 괜찮을듯 아니면2 이정도면 다시 한번 생각해봐야겠다 하고 참고만 하세요  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolpdCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4246 PDBuild Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기21울트라 초기구매설 연휴주에 구매 발열 온도 영상 참고하셔요 ,2021.04.15. 14:02
37,유튜브 좀 보다가게임 돌리는데 갑자기 버벅이길래 뭐지 이거폰만져보니 상단쪽 잘못만지면 화상입겠는데요와 이거 어마어마하네,2021.04.13. 22:38
38,5GX 클럽 이용해서 s10 반납하고 S21 바꿨습니다  오늘 받자마자 충전하면서 스마트 스위치 하는중인데 확실히 발열이 있긴하네요 근데 기존폰도 충전기 꼽아놓거나 게임 다운받거나 고사양게임하면 40도를 훌쩍 넘어가서 체감은 비슷한거 같아요 발열 느끼시는분들은 기존폰들이 얼마나 열이 없길래 발열발열 하시는지 궁금도 하네요 처음 충전만 했을때는 열 안올라왔는데 스마트 스위치 하면서 충전기 꼽아놓으니깐 열이 올라와서앞으로 유튜브 아프리카드라마 자주보는데 그거할때는 발열이 없기를 ,2021.04.09. 13:27
39,AS 2차 후기입니다지난주 목요일날 하늘색으로 표시한 부분에 휘어짐이 있어 액정테두리배터리 교환 후 확인해봤는데 보라색으로 표시한 부분 처럼 평평해야 하는데 들리는 느낌이 있고 만지다보면 폰 상단 부분까지 들립니다  정확히 말하면 수평이 맞지 않습니다월요일에 재방문해서 재교체 해달라고 하니 불량이 아니라고 하면서 교체 거부하고 이대로 쓰라고 하였습니다교체를 제대로 못한거 같기도 한데다른 센터 방문해서 교체 받을까요 아님 그냥 쓸까요  ,2021.04.09. 09:14
40,냉동실에 넣어뒀네요,2021.04.08. 18:25
