,내용,등록일
11,,2021.07.31. 19:25
12, 라프텔 에서 86 에이티식스 라는 애니 4화까지 봤는데 재밌네요,2021.07.31. 18:39
13,탭좋아요s7lte버전했어요s7로  s7업음존버해야겠내요질문추천 금지 X제조일5월배터리오래가는듯 ,2021.07.30. 12:38
14,제가 너무 원했던 큰 화면  lcd  lte 태블릿이 나와서갤식라 너무 만족스럽게 6개월 쓰다 오늘 s7 fe 6128로넘어 왔습니다오늘 이것저것 테스트 해 봤는데 양품이네용애초에 lcd 에 큰화면이 필요 했던 저는 너무 만족 스럽습니당필기를 많이 하는터라 화면이 커지니 좋네요 스킨 붙여봤어요이제 갤식라는 방출해야 겠네용  ,2021.07.29. 23:11
15,올 겨울쯤 탭s7 wifi 128 구매했음아이패드 미니5 사용중이였고 서브탭으로 구매함아니패드 미니5 만족감이 높았던 터라 갤탭은 약간 큰 태블릿으로 구매한거임당시 패드 프로는 새로 나오는거 보면서 구매예정이라갤럭시탭을 11인치로 s7을 구매했음우선 아이폰 유저였고 노트는 1세대 이후로 펜을 처음 사용해봤는데 실제로 갤럭시 실 사용을 이번에 접해봄근데 너무 좋음사운드 화면비 정말 좋음성능은 생각보다 만족스러운 정도였음올 봄에 아이패드미니5 lte 판매후탭 s7 fe 아니면 a7라이트 대기중이였음셀룰러가 필요해서7월 발매전까지 무한반복 고민했었음A7 라이트 생각보다 너무 저사양 가격맘에듬저사양에 너무 그래서 s6라이트 애매한 가격에 성능그래서 a7 괜찮은데 뭔가 아쉬움 그래서 S7fe 대화면에 괜찮은 성능에 가격나온고 보고 엄청 고민했음대화면이 엄청 끌리긴했으나대화면에 성능 애매하면 후회할것 같아 그냥 다시 s7탭 lte로 할인률 좋은거로 구매함 뭘사든 주력상품 사는게 맞는거 같다는 생각을 함근데 갤럭시 생각보다 너무 마음에 듬아이폰 다음에는 갤럭시로 갈아탈 예정S8 나오면 구매고민 할듯 그때 나올지도 모르는 더 큰 대화면 탭을 노릴듯,2021.07.28. 20:08
16,일단 단점은 무게 스피커 이네요ap는 마지노선 정도 살짝 아쉬움장점은 대화면 시원 시원 합니다 그리고 밝기 센서가 두개인점도 좋습니다,2021.07.27. 22:33
17,이전에 갤럭시탭 A 80 with spen2019 모델을 쓰고 있었어요wifi 모델말고 직구해서 lte 모델이긴 햇는데그거 쓰다가 너무 화면이 작으니까 속터졌는데 s7 fe 쓰니까 화면 커서 일단 만족중입니다물론 fe라는 네이밍 마음에 안들고 비싸고그렇긴한데업무용으로 쓰는데 사실 s7는 고스펙인거 같아서 저는 일단 만족중입니다화면 작은 3기가 램 쓰다가 이거 쓰니까 꽤 괜찮아요,2021.07.25. 20:59
18,맞춤법 틀린 건 그냥 양해 좀 해주세요 지금까지 써본게t595이건 s펜 x a6 with spen s6 lite s7네이비모두 lte 버전만 사용했어요네이버 라방 s7 fe 6g 128gb 결제 해놓고일단 실물은 한번 봐야겠다고 생각해서 디프가서 실물 30분 정도 만져본 결과디프에서는 어플을 설치 못한다고 해서 유튜브 인터넷 삼놋 정도만 옆에 플래그쉽 탭들이랑 비교해봤는데 필기도 나름 괜찮아서 s7 fe 구매 결정일단 s7에서 바꾼 이유는 그저 LCD 패널 달린 124 화면하나 입니다실사용 체감이 되는 다운그레이드1지문인식센서삼성패스지문인식으로 잠금기능 보다는 그저 삼성패스가 너무편해서 삼성패스 없는게 조금 커요 260hz갤놋2060hz 쓰고 있는데 스마트폰 작은 화면 60hz는 괜찮은데 큰 화면 60hz는 120hz랑 차이가 많이 느껴져요60hz라서 사용하지 못하겠다는 아니고 그냥 탭s7 120hz 쓰다가 다시 60hz 넘어오니 화면 전환할때 살짝 끊어지듯이 보이는 이건 곧 적응 될거에요3ap성능500페이지 정도의 pdf를 많이 보는데 s7이랑 비교하면 페이지 넘길때 1초 정도 더 걸린다는 느낌s7 s7 fe 동일한 pdf 파일 동일한 페이지에서 다음 페이지로 이동 테스트 해봄 하지만 크게 불편하지는 않아요4레이턴시디프에서 제가 주로 사용하는 플렉슬을 설치를 할 수가 없고 노트쉘프가 설치가 안되어 있어서 삼놋으로 밖에 테스트를 못했는데요삼놋에서 s7 s7플이랑 비교해도 레이턴시가 조금은 차이나지만 막상 필기애국가 1절 다 써봤어요해보면 크게 체감되지 않아서 이정도면 필기감 쓸만하겠다고 생각했는데s7 fe 개봉하고 플렉슬 설치해서 s7 갖고 있는 거랑 비교하니까 레이턴시 차이 심해요 삼놋에서는 s7 fe도 빠른데 플렉슬에서는 확실히 s7이랑 차이 많이나요삼성개발자들은 플렉슬에 소프트웨어 소스를 좀 주던지 플렉슬이나 다른앱에서도 레이턴시 개선되게 만들어주지  이건 매우 아쉽네요바꾸고 체감이 되는 업그레이드단 하나 그저 124 화면 크기에요 s7 11인치에서 pdf 파일 보는 거랑은 차원이 달라요 하아 그동안 작은 거탭s7 11인치로 보느라 고생했는데양쪽 눈에 평화가 찾아왔어요 결론커뮤니티나 유튜브에서 왜 사냐 안 산다 비싸다 s네이밍 아니다 등등 말이 많던데 뭐 성능 낮추고 이것 저것 뺏으니 s fe 네이밍은 아닌 것 같다는 동의합니다만 사전예약으로 샀고 지금 유튜버 아니면 구입 희망했던 사람들 전부 사전예약 가격으로 알아 봤잖아요 사전예약만큼은 아니라도 대부분 특가나 할인할 때 노려서 많이 구매한다고 생각하면 충분히 가격대비 괜찮은 성능이라고 생각해요중국 탭 아니면 애플 비교도 많은데사전예약가 할인가 생각하면 124인치에 삼성이라 as도 타 브랜드보다 더 잘 되고 펜 포함이고 좋은 필기감까지 생각하면 괜찮은 것 같아요어쨌거나 저는 그저 대화면으로 pdf 볼때 눈에 잘 들어와서 좋은 선택을 한 것 같아요s7 써보니 s7플 성능은 저한테는 오버스펙이더라고요feat 액정보호필름1힐링쉴드 고광택 사은품  필기할 때 강렬한 빛 반사 때문에 패쓰2어 저반사  이건 탭s7에 쓰던 거에요s7 fe 필름과 옆에 두고 비교3어 퓨어 저반사  이번에 새로 사본 필름예전에 유튭에서 액보필름 필기감 비교한 영상 보고 어 저반사를 구매해서 썼었는데요 매우 만족해서 이번에도 어 저반사를 구매하려다가 퓨어 저반사라고 있길래 이번에는 퓨어 저반사로 구매했어요차이는 일반 저반사는 지문이 거의 안 묻고 형광등 반사가 거의 없어요형광등 빛이 뭉개져서 보여요 대신 화면에 약간 모래알처럼 조금 자글거림이 있어요 적응 되면 괜찮아요퓨어 저반사는 일반 고광택 올레포빅이랑 일반 저반사 보호필름을 콜라보한느낌이에요단점은 올레포빅 만큼은 아니지만 형광등이 뚜렷하게 보이고 어느 정도 빛 반사가 있고 지문도 묻은게 확실하게 보여요 대신 화면에 모레알처럼 자글거림은 거의 안보여서 화질은 일반 저반사 필름보다 좋아요액보 필름 결론  기준종이질감은 화면이 너무 안좋아진 거랑 펜촉 마모가 심한 것 때문에 패쓰하고저반사 필름필기감 상당히 좋아요 저반사  플라스틱 펜촉 추천만 쓰는데저는 pdf 필기가 주라서 다시 구매한다면 일반 저반사를 고를 것 같아요 강의 7  필기 3 이라면 퓨어도 나쁘지는 않을 것 같아요좌  퓨어 저반사 우  저반사 ,2021.07.25. 00:26
19,집에서 거치시켜서 누워서 동영상 인터넷용으로s5e를 사용하다 fe를 구매했는데이 용도로는 s5e도 좋네요fe도 생각보다 빠릿하고 액정도 좋은것 같은데2인치 차이가 생각보다 크게 와닫지가 않아서 뭐를 써야될지 고민되네요,2021.07.24. 21:46
20,S6 LITE S7 S7 모델을 경험해보고 S7FE 사전예구로 구매를 하였습니다마지막에 사용한 것은 S7 입니다S7모델의 경우 성능이나 사이즈 모두 맘에 들었으나 오렌지 현상이 너무 거슬렸어요 그리고 제가 받은 제품들의 초기불량들로 휨 먼지 유입 아주 심한 오렌지 현상 총 4대의 S7을 개봉했었는데 모두 오렌지 현상이 존재하였습니다 마지막 S7은 그냥 적응해보려고 했는데 특정 부분만 노란 액정이 적응하기 어렵더군요그래서 S7 모델을 구매했습니다 AMOLED사양으로 균일한 백색화면을 기대했는데 S7도 완벽하게 균일하지는 않더군요 그래도 S7보다는 나아보이고 큰 액정이 은근히 제 작업환경에 맞아서 한 1달안되는 시간을 사용했습니다 다만 제가 타블렛을 쓸수있는 시간이 줄어들어서 100여만원제품을 사용안하고 가지고 있는 것이 조금은 낭비같다는 생각이 들었습니다 이런 상황에서 FE 예구가 시작되었고 고민을 하다가 예구제품과 S7 둘중 한가지를 방출할 생각으로 예구에 참여했습니다 네이버는 놓쳤구요 지마켓에서 60정도로 구매했네요결과론적으로는 FE가 저한테 잘 어울리는 제품같습니다1 LCD 액정  번인걱정이 없음 아울러 S7과 같은 오렌지 현상이 없습니다 그리고 S7보다도 백색화면이 균일해보이네요 제가 여러번 기변을 한 사유가 액정 균일도여서 꽤 맘에 듭니다2 성능   S7 S7보다 느리긴합니다 120hz도 체감되는 사항인데 개발자모드에서 애니메이션 효과를 05배속으로 해두면 봐줄만 합니다 제 사용환경 아웃룩이메일 플렉슬 인터넷웹서핑 간단한 케주얼게임에서는 큰 무리가 없는 성능을 보여주네요아쉬운 점은 지문인식기능이 없는 것과 블루라이트 기능을 가장 낮은 단계로 해 놓아도 너무 누르스름해보이네요 그래서 별도의 블루라이트 어플로 사용을 하고 있습니다예구가격내에서는 충분히 만족스럽고 좋은 제품 같네요 예구후에도 각종 마켓에서 좋은 가격으로 판매를 이어나가면 좋을 것 같습니다,2021.07.24. 13:13
21,먼저 s7 네이비 사고 이후에 m1칩셉과 좀 작은 화면에 끌려서 아패 5세대 11인치 샀는데스피커로 같은 음악 틀어놓고 비교해 보면갤탭s7가 돌비에티모스 안 킨 경우에는 갤탭s7가 아패5세대 11인치보다 약간 더 좋은 느낌이라면갤탭s7가 돌비에티모스 키면 그냥 아패5세대 11인치 떡바르네요역시 사이즈 차이와 돌비에티모스가 있고 없고 차이는 어마어마 하네요아패11인치는 쟁겨놓고 요세는 s7을 메인으로 쓰는 중입니다영상 많이 보고 음악 많이 들으시면 그냥 s7 지르세요물론 아패 129인치하고는 비교 못해봤습니다,2021.07.24. 10:28
22,S7FE는 본명은 S7lite입니다 s6lite 후속이죠S7 Lte 256기가 가격이 무려 125만원S7 liteFE Lte 128기가 가격은 77만원즉 48만원 차이가 램 2기저장 128기가Oled120hzcpu성능 15배 정도개인적으로 추가 램은 필요없고 용량128기가 추가에 5만원 Oled120hz에 10만원CPU 10만원 딱 25만원 잡다 좀쳐줘서 30만원 이상 더주곤 절대 안살꺼 같은데 정가 차이는 48만원입니다 물론 실구가는 55랑 90100정도애플 12인치는 프로만 있으니 펜까지 더하면 가격은 저세상 안드로메다 가서 알아볼필요가 없네요 에어나 일반 8세대 살사람이 12인치대 보고 있진 않죠 s7이랑 비교하겠지,2021.07.24. 09:49
23,첫 태블릿입니다모니터보다 화면은 작지만누워서 볼수 있어 간편하네요무겁다화질이 안 좋다 하지만첫 태블릿이라 잘 모르겠습니다15인치 노트북은 휴대하기 번거로웠는데S7 FE 사이즈가 옆구리끼고휴대하는 데마지노선이란 느낌입니다폰을S10 5G 사용중입니다남들은 크다 무겁다 하던데저는 화면 작은 건 못 쓰겠더군요비슷한 느낌입니다적어도 태블릿이면화면 사이즈가 이정도는 되어야지,2021.07.24. 03:04
24,오늘 다들 사전예약으로 구매하신 기기 받으셨다고 후기들 남기셔서 기기가 너무 궁금해서 하이마트를 방문했습니다첫인상은 우와 너무 화면이 넒어서 전혀 준플래그쉽으로 안보였습니다진짜 사전구매가에 이 정도 화면크기면 그냥 가성비 좋겠다는 생각이 들었어요그리곤 디스플레이 밝기도 밝았고 색감도 좋았어요S펜도 60주사율 치곤 레이턴시도 좋았습니다 실체감은 옆에 있는 s7과 그렇게 많은 차이는 안났습니다 물론 s7 레이턴시가 더 빠르긴 합니다그리곤 가장 궁금한 건 성능이었습니다가장 중요한 것은 여러앱을 동시에 켜고 끌 때 얼마나 빠릿한가 였죠이에 기기 최적화와 앱 모두닫기를 진행한 후먼저 삼성노트 실행해서 pdf 100페이지 짜리 실행하고 홈으로 인터넷 실행해서 네이버 들어가고 홈으로  이런 식으로 구글플레이 갤러리 유투브도 구동했습니다여기 까지는 대체로 빠릿했습니다마지막으로 갤럭시 스토어를 실행했는데여기서 좀 아쉬움이 느껴졌습니다영상처럼 너무 버벅였습니다라이브 방송이서 왜 어느정도 버벅임을 보였는지 알 것 같았습니다결론적으로 대화면 필요하시고 성능이 크게 필요 없으신 분들은 아주 가성비 좋은 선택을 하신 것 같아요  Loading playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer SizeCurrent ResolutionMax Abr ResolutionProtocolCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate 도움말라이센스Video Statistic Version 4246 Build Date 2021512NAVER Corp     동영상 인코딩 중입니다5분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다 topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거0000  0000 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어 URL 복사 레이어 닫기갤럭시탭 s7 fe 체험 후 느낀점 입니다 ,2021.07.23. 21:21
25,원활합니다깜짝 놀랐네요안정화 업뎃 덕분인지 모르겠지만 매장에 있던 4gb의 답답함이 없어요겜 안돌리면 6gb 모델 추천합니다 ,2021.07.23. 20:41
26,현재 저는 라이트 유저고  s7 128GB를 사용중인데 결론부터 말하자면 생각보다는 좋습니다제가 개암을 안하므로 124인치에서 오는 느낌은 상당히 괜찮고 팔기 레이턴시도 맨눈으로 보면 크게 느껴지지 않았습니다화면 색감 s7 기준으로 큰 차이 못느꼈고요단점으론 램 용량이 상당수 남아있는 환경에서도 특정 상황에선 랙이 걸립니다지문인식센서 없는게 상당히 불편하고무엇보다 손으로 휴대하기 벅찹니다dex 모드 진입시간 S7 526초 FE 948초 걸렸습니다직원피셜 5시간 이상 켜 놓으면 살짝 랙걸릴 수 있다고 합니다흠 정말 ap 성능 살짝만 더 넣고 지문안식만 넣으면 저는 사고싶더군요 추가  삼성노트 인터넷 열어놓다가 시간지나서 홍보영상 한번 뜨니까 두 어플이 사라져있었습니다 6gb사세요 ,2021.07.20. 16:07
27,기존에 s5e사용하다가 팔고 아이패드를 계속 사용했다가 서브용으로 구입했는데 동영상 시청용으로 괜찮은듯 합니다고사양 어플은 아이패드로 사용하고 넷플릭스와 유튜브용으로 사용하니 버벅임은 거의 못느낍니다  펜을 사용하는 그립감은 애플펜슬보다 좀더 편한감이 있네요 물론 인식 반응속도는 좀 느리지만요가볍게 사용하시려는 분들은 구매해도 좋을듯합니다,2021.07.11. 10:00
28,제일 불편한게 무게예요 탭본체와 맞먹는 무게가 제일 안좋네요서피스처럼 패드를 뒤에서 받치는 구조는 힘이 없어서 별루네요블루투스 마우스를 사용하니 터치패드가 걸리적거리구요 FE 모델 신형키보드가 자판만있어서 가볍고 좋은 것 같아서 갈아타려구요해외 유튜버 리뷰 보니 무게도 300g으로 많이 가벼워졌구요 정보 아시는 분은 없으신가요 아마존을 검색해봐도 잘 안나오네요 호환되겠지요,2021.07.08. 17:05
29,갤탭7fe버전이 나온다고 하지만 영상용으로만 사용하려고 그냥 갤탭6라이트 구매했네요 고사양 작업은 전혀 안하고 순수 영상용으로 사용할 목적이라 저렴한 제품을 찾다가 갤s5e랑 엄청 고민했습니다그래도 가장 최신에 나온게 펌웨어 업글이라도 한번더 받을 수 있지 않을까 생각해서 갤탭6라이트로 선택했는데 잘한건지 모르겠네요근데 정말 엄청 버벅거리나요 웹서핑정도는 가능하겠죠,2021.07.03. 22:03
30,갤럭시탭s7에서 아이패드 11인치 M1 으로 이동했습니다우선 골수 갤빠입니다탭S7 과 아이패드중 고민하시는분들께 선택의 도움이 되셨으면 좋겠네요우선 두 태블릿을 비교하자면 솔직히 아이패드가 갬성에서 그냥 압살입니다UI 제스쳐 애니메이션 주사율등등같은 주사율인데도 아이패드가 훨씬 부드럽습니다갬성은 진짜 아이패드가 극강인것 같습니다하지만 확실히 탭S에 비해서 접근성이 많이 어렵고 편의성이 부족한건 사실입니다전 넷플 왓챠등등 실시간 스트리밍 서비스 보다 이상하게 태블릿에 만화책 영화 애니메이션 같은걸 직접 넣어서 보는게 더 편하더라구요그런면에서 탭S가 아이패드보다 너무 편합니다자 그럼 두기종중 선택 하실때 몇가지만 고려하시면 됩니다1 나는 무조건 성능이다 그냥 두개중 맘에 드는거 구입하시면 됩니다성능이야 무조건 아이패드가 좋은건 사실이지만 탭과 아이패드 둘다 현존 최고의 태블릿이라 전혀 부족함이 없습니다실제 저같은 소프트 유저한테는 그게 그거더라구요2 화면 비율  이게 진짜 중요합니다 전 유투브 동영상을 많이 보긴했지만 이 비율때문에 오히려 탭에서 아이패드로 갔습니다그게 무슨 말이냐탭S가 동영상 비율이 좋아서 영상 볼때 좋긴하지만 그 외적인건 정말 참 난감하더라구요한쪽이 긴 1610 비율이라 영상 제외하고 모든 부분에서 가로로 보기에도 애매 세로로 보기에도 애매하더라구요반면 아이패드는 영상 비율에서도 탭S에 비해서 여백이 많이 남지만 전 그리 신경이 쓰이지 않았고 가로든 세로든 모든 방향에서 참 편했습니다3 아이패드의 최고의 단점정 하나는 약한 바디 강성인것 같습니다 갤럭시탭S는 바디 강성이 정말 강합니다 아주 단단합니다그런데 아이패드를 잡아보는순간 아이거 조금만 잘못하면 휘겠구나라고 바로 직감이 들더군요솔직히 너무 약해서 많이 조심스럽습니다그래서 애플케어 필수인것 같구요4 편의성과 폐쇄성 아무리 무선 전송이 발달했다 하더라도 아이패의 폐쇄성은 정말 큰 단점입니다 진짜 폐쇄성 욕이 나옵니다아이패드를 쓰는 지금 갤럭시의 자유성이 너무 그립긴합니다갤럭시는 파일을 넣으면 어떤 앱으로도 그 파일에 접근해서 사용할 수거 있는데 아이패드 안그렇습니다특정 앱으로 넣은 파일은 그 특정앱만 그 파일에 접근할 수 있다고 보심 되는데 이게 진짜 불편하고 짜증납니다그리고 탭S의 멀티윈도우와 DEX는 삼성의 신의 한수 인것 같을정도로 너무 편했습니다5 필기감 전 솔직히 탭s7가 10배는 낫다고 봅니다아이패드는 뭐랄까요 너무 딱딱하고 이빨 부딪치는 느낌이라 영 별로네요 6 앱 생태계 태블릿 전용앱이 애플이 넘사벽으로 많다고는 하지만 저처럼 소프트유저는 안드로이드도 충분했습니다하지만 전문성 생산적인 앱이 필요하다면 무조건 애플이 맞는것 같습니다결론1 갬성과 가로세로 좋은 비율을 원하시면 무조건 아이패드2 자유도와 바디강성 AS 그리고 상대적으로 저렴한 가격을 원하시면 삼성 탭S로 가시면 됩니다3 필기감 중요하다 싶으면 탭s7으로 가시면 됩니다4 아주 전문적이고  생산적인 앱이 중요하면 아이패드  소비적이고 소프트유조라면 탭s75 파일 자주 넣고 빼고 편한게 좋으면 무조건  탭s76 dex 모드와 멀티태스킹 무조건 탭s7입니다특히 dex와 삼성의 신의 한수입니다dex는 무조건 강추고 사랑입니다성능은 무조건 아이패드가 훨씬 좋지만 두 바디 다 실사용으로는  전혀 부족함이 없고 최고이니 성능의 고민보다는 위 몇가지 사용목적이 더 실사용과 선택에 도움이 되실듯합니다지금 아이패드에 적응중이지만 전 아직 탭s7이 그립기도 합니다,2021.07.03. 20:07
31,지금 두 기종을 같이 쓰고 있습니다S6로 처음 패드를 접했고프로를 구매하게 되었습니다패드 초보이지만 한번 후기를 적어봅니다S6는 대략 1년 6개월 정도 사용하였습니다프로는 대략 4일 정도 되었습니다S6는 뭔가 어설픈듯 잘 굴러갑니다프로는 뭔가 빠릿한데 제가 많이 공부를 해야 하는 것 같습니다S6는 은근 단순해서 사용하기 편합니다프로는 은근 편한것 같은데 다 돈이 들어갑니다S6는 다양하게 이것저것 개인의 취향에 맞출 수 있는 것 같습니다프로는 개인의 취향으로 맞출 수 있는 것 같은 느낌만 있습니다S6는 조금 알아보고 사용할 수 있습니다프로는 조금 알아보면 정말 조금만 사용하는 것 같습니다S6는 내가 생각하는 것을 할 수 있는게 많습니다프로는 할 수 있는 영역이 애플이 정해준 것 같습니다 그러나 할 수 있는 좋은 유료 어플이 있습니다프로가 소리 화면 어플의 로딩 속도 훨씬 빠르고 좋습니다,2021.06.29. 17:07
32,갤럭시탭S7 LTE 를 사전예약으로 구매해서 사용중에 테두리 기스가 군데군데 발생해서 삼성케어를 한번 사용해보았습니다  교체 하실분 참고하시라고 견적서랑 교체 후 사진 첨부해봅니다결론  7만 5천원으로 태블릿 새로 산 기분이라 좋다  뒷판 교체시 배터리는 일체형이라 덤으로 같이 교체 된다   삼성케어 후에도 보호필름  보호케이스 없이 막 사용 하게 된다 ,2021.06.25. 14:42
33,정품 북커버가 밋밋한것 같아 붙여봤는데 괜찮아 보여 올려봅니다 ,2021.06.23. 19:38
