,내용,등록일
11,평소 외부 미팅이 잦아 적당한 노트북을 찾던 중 삼성 갤럭시 북 플렉스2가 출시된다 하여 2020년 12월 사전예약을 통해 구입하였습니다 삼성 갤럭시 북 플렉스2 5GNT930QCAKC71S 하드웨어 스펙을 간략하게 소개하면 아래와 같습니다 SPEC1 CPU  intel i71165G7 11세대2 RAM  16GB DDR4 3 SSD  512GB4 133 inch FULL HD QLED 터치 모니터 600nit5 windows 10 home6 126 Kg인텔 11세대 i7 CPU 가 탑재되어 있어 부팅속도 와 프로그램 구동 속도엑셀 파워포인트 등 사용기간이 짧아 포토샵 게임등은 구동하지 못함 모두 쾌적하여 저 같은 직장인이 업무용으로 쓰기 무난하였습니다요즘 대부분 데스크탑에서도 보편적으로 장착되는 16GB 메모리와 512GB SSD 용량 으로 가정에서 큰모니터만 연결해서 쓴다면 고스펙의 게임만 기동하지 않으면 충분한 스펙 입니다  평소 외부업무가 잦은 직장인  동영상 강의 등을 외부에서 자유롭게 듣고자하는 학생에게 모두 적합한 노트북 입니다사전예약 구매 사은품으로 갤럭시버즈화이트가 동봉되어 왔으며 사용하는 무선 이어폰이 있어 아직 개봉하여 듣지는 못했습니다 개봉기 시작합니다 박스를 열면 노트북이 흰 부직포에 잘 포장되어 있습니다  부직포 포장을 벗기면 갤럭시북 플렉스2 본체 를 만나 볼수 있습니다 S펜은 하판에 내장되어 있으면 살짝 누르면 나올수 있게 되어 있습니다 갤럭시 북 플렉스2 5G 모델에는 파란색 S펜이 포함되어 있습니다 박스 내 구성품은 간단 사용 설명서  USIM 탈착 클립  아답타  마우스  파우치 로 잘 정돈 되어 들어가 있습니다 구성품을 모두 보고 난 후 갤럭시 북 플렉스2 5G 는 상하판 내부 키보드 팜레스트 모두 메탈 느낌의 은색으로 전체적인 색상이 통일 되어 있습니다 아직 수령한지 긴 시간이 되지 않아 간단하 사용 느낌은 13인치의 컴팩트한 사이즈에 13Kg이 되지 않는 무게로 이동성과 성능이 모두 뛰어납니다디스플레이는 qled를 사용하고 밝기가 600nit 로 매우 밝아 외부에서 사용하기에 충분하고 햇살이 따스한 봄에도 카페의 외부 테이블에 앉아 작업하기에도 충분할 것으로 생각됩니다s펜은 태블릿 모드로 하여 사용시 활용도가 높으며 갤럭시 노트와 같은 사용이 가능하며 스마트폰에 비해 화면이 커 메모 등이 아주 편리 합니다회의시 PT 시 모두 높은 활용도를 자랑 합니다그리고 전작에 비해 기본 HDMI 단자가 우측에 위치하고 있어 회의시간 모니터나 빔프로젝터에 연결해 PT를 진행할 수 있는 점도 유용합니다 전작인 플렉스1 의 경우 HDMI 단자가 없어 외부 미팅 등이 잦은 직장인 에게는 C타입 허브를 추가로 휴대해야 했던 단점이 있었는데 HDMI 단자가 생겨 더욱 편리해 졌습니다추가로 기본 동봉인 아답타는 PD 충전을 지원하고 65W를 지원해 빠른 충전을 할 수 있는 강점 이 있습니다또한 5G를 지원하고 있어 USIM 을 삽입하여 와이파이가 지원되지 않는 야외나 외부 사무공간에서 모두 인터넷을 연결하여 사용할 수 있는 것은 삼성 갤럭시북 플렉스2 5GNT930QCAKC71S 의 최대 장점이라고 할 수있습니다 와이파이 신호가 약한 강의실의 학생과 외부 미팅 출장 등이 잦은 직장인에게 제격인 노트북 입니다  사용기간이 짧아 더 자세한 후기는 2부에 이어 가겠습니다LTE USIM으로 개통한 후기 및 플렉스2 구매 전 사용하고 있는 갤럭시 북S 모델과의 비교리뷰 등을 추가할 예정 입니다 이 게시물은 삼성전자 갤럭시 아카테미 후기 이벤트에 참여하기 위해 작성된 글입니다,2021.07.17. 15:03
12,716A 사놓고 안쓰다가 최근에 꺼내서 쓰고잇는데요진짜 웬만하면 글 안쓸려고하는데 타이핑을 마니써야되는 상황이라키보드 SHIFT키가 반토막인지라  매번 오타가 나서 환장할것같네요성능이야 둘째치고  등등 타이핑중 대부분 SHIFT키를 써야되는데  여자라면 손이 작아서 괜찮을련지 모르겠으나 남자인 저는 손이 그렇게 큰 편도 아닌데 매번 SHIFT키 때문에  키보드 박살내고 싶은 충동때문에미칠것같네요 저는 SHIFT를 약지로 사용하는데  SHIFT를 누를려면 SHIFT키와 지문인식 키랑 같이 있어서  SHIFT키가 제대로 안눌러 지는지  오타가 자주 발생하네요이번에 이온2가 나온것같은데 2는 어케 나왓는지 아직 안봐서 모르겟고  20년형 이온은 키보드 키감보다 SHIFT키 때문에 진짜 욕이 한바가지 나오네요이럴줄알았으면 안사는건데  SHIFT 키때문에 환장하기 직전입니다기존에 쓰던 무선키드를 사용하면  전혀 오타없이 잘 써지는데  놋북 자체 키보드로만 쓰면  몇자 적기도 전에 오타가 지금도 놋북 키보드로 글쓰는데   혈알올라서  더는 못쓰겟네요2가 나왔으니  20년형 이온은 싸면 고려해보실려는 분들은 필히 참조 하셔야될것같아요엥간하면 이런글 안쓰는데   딥빡쳐서  두서없이 여기다 투정 해봅니다다들 새해복 많이 받으세용 이온 키보드 SHIFT 뷁,2021.07.15. 06:11
13,안녕하세요 7월 3일날 갤럭시북s 인텔 버젼으로 새로 출시된다고 들었습니다사전 예약가도 147만원정도로 보입니다제가 지인을 통해서 갤럭시북s퀄컴을 새제품을 80만원에 살수있는데 아무래도 호환성이 조금 걸립니다그래도 가격이 깡패라는점그럼 님들은 퀄컴80만원 vs 인텔140만대 중에 어떤것을 선택하시겟나요,2021.07.10. 18:59
14,,2021.07.08. 18:27
15,,2021.07.07. 22:36
16,,2021.07.06. 19:23
17,,2021.07.02. 23:54
18,,2021.06.29. 12:17
19,,2021.06.21. 10:38
20,,2021.06.11. 20:59
21,,2021.06.09. 13:39
22,,2021.06.07. 19:53
23,,2021.06.07. 10:38
24,,2021.06.01. 20:05
25,,2021.05.28. 14:51
26,,2021.05.27. 16:55
27,,2021.05.27. 15:49
28,,2021.05.26. 10:43
29,,2021.05.25. 17:36
30,,2021.05.25. 11:31
31,,2021.05.24. 08:42
32,,2021.05.23. 22:41
33,,2021.05.16. 12:24
34,,2021.05.15. 22:35
35,,2021.05.12. 13:13
36,,2021.05.12. 08:41
37,,2021.05.07. 20:36
38,,2021.05.05. 00:39
39,,2021.05.02. 05:23
40,,2021.04.30. 17:39
41,,2021.04.29. 22:46
42,,2021.04.28. 23:32
43,,2021.04.26. 20:00
44,,2021.04.26. 18:40
45,,2021.04.25. 11:11
46,,2021.04.24. 22:54
47,,2021.04.17. 22:06
48,,2021.04.16. 20:17
49,,2021.04.16. 10:56
50,,2021.04.15. 19:04
51,,2021.04.15. 09:56
52,,2021.04.14. 10:02
53,,2021.04.12. 10:22
54,,2021.04.10. 12:11
55,,2021.04.09. 20:29
56,,2021.04.09. 10:53
57,,2021.04.08. 20:39
58,,2021.04.08. 12:46
59,,2021.04.07. 19:48
60,,2021.04.06. 16:47
61,,2021.04.06. 13:44
62,,2021.04.04. 00:35
63,,2021.03.30. 16:47
64,,2021.03.30. 09:10
65,,2021.03.30. 02:13
66,,2021.03.28. 16:05
67,,2021.03.26. 23:32
68,,2021.03.24. 21:23
69,,2021.03.24. 10:18
70,,2021.03.24. 08:24
71,,2021.03.20. 19:37
72,,2021.03.16. 22:00
73,,2021.03.16. 20:19
74,,2021.03.16. 15:18
75,,2021.03.14. 20:46
76,,2021.03.13. 17:04
77,,2021.03.13. 10:33
78,,2021.03.12. 17:31
79,,2021.03.12. 09:16
80,,2021.03.11. 12:53
81,,2021.03.10. 13:00
82,,2021.03.09. 18:07
83,,2021.03.08. 21:39
84,,2021.03.03. 15:02
85,,2021.03.03. 11:45
86,,2021.03.02. 22:15
87,,2021.03.02. 18:48
88,,2021.03.02. 09:50
89,,2021.03.02. 08:35
90,,2021.03.01. 19:14
91,,2021.02.27. 00:56
92,,2021.02.26. 18:17
93,,2021.02.24. 03:06
